Index,Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,ActualBurg,BurgStatus,BurgStatus2,call_ALL_target,call_Burglary_target,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire),SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita
5470,ZONE6C,2013_37,2013_37_ZONE6C,216,72,8,16,16,40,24,16,216,8,32,0,0,0,0,0,8,0,8,0,0,0,0,39,0,27,4,6,2,0,6,4,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,11,0,1,4,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,1,2,9,0,0,0,0,0,0,0,0,2,5,0,0,3,2,0,0,0,0,0,0,83920696.36,176,7759,0.447609228,0.552390772,3688,0.962039046,0.89181128,0.042570499,7608,0.218191377,0.009989485,0.024710831,0.04679285,0.005783386,0.781808623,2492,0.936195827,0.184991974,0.2929374,0.046548957,0.023274478,38,37,40,48009,47873,47555,54849,25295
5471,ZONE7B,2013_37,2013_37_ZONE7B,68,18,6,6,2,10,8,8,68,2,6,2,2,0,2,0,2,0,2,2,2,1,1,20,1,29,3,9,4,9,2,2,2,0,0,0,0,0,0,0,0,31,0,0,0,0,1,9,1,1,8,0,0,0,1,1,0,1,0,1,0,3,0,3,0,0,1,0,0,0,0,2,0,3,0,0,0,0,3,9,0,0,0,0,0,0,0,0,1,5,0,0,4,4,0,0,0,0,0,0,71683309.47,227,12162,0.532560434,0.467439566,6062,0.962553613,0.875618608,0.065819861,11851,0.313306894,0.011475825,0.011813349,0.081512109,0.017973167,0.686693106,3969,0.990677753,0.064247921,0.153187201,0.009322247,0.019400353,35,30,37,60729,82933,36029,63865,27667
5472,ZONE7C,2013_37,2013_37_ZONE7C,45,9,0,3,6,9,3,0,48,0,12,3,0,0,0,3,0,0,6,0,0,0,0,7,0,14,4,0,4,2,1,2,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,53630347.61,238,8040,0.478233831,0.521766169,3991,0.95013781,0.842144826,0.095965923,7621,0.267418974,0.014958667,0.015089883,0.037265451,0.014171369,0.732581026,2452,0.98776509,0.105628059,0.201060359,0.024469821,0.033849918,36,36,36,79633,85153,51478,89011,30844
5473,ZONE7D,2013_37,2013_37_ZONE7D,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36142020.32,45,1179,0.489397795,0.510602205,766,0.951697128,0.898172324,0.053524804,1151,0.149435274,0,0.008688097,0.043440487,0.021720243,0.850564726,416,0.949519231,0.194711538,0.274038462,0.019230769,0,45,48,43,78477,79000,68194,97625,37077
5474,ZONE1A,2013_38,2013_38_ZONE1A,266,7,7,7,21,21,42,63,280,14,70,7,7,0,14,0,14,0,14,0,2,1,1,30,0,36,7,4,3,3,5,9,3,0,0,0,0,0,0,0,0,34,0,0,0,0,2,2,2,2,8,0,0,0,2,1,0,0,0,1,0,1,0,6,0,1,6,0,0,0,3,1,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,2,3,3,1,0,6,9,0,0,0,0,0,0,21969431.69,77,2866,0.481158409,0.518841591,1097,0.967183227,0.830446673,0.05834093,2763,0.264205574,0.020991676,0,0.031849439,0.027506334,0.735794426,905,0.955801105,0.131491713,0.171270718,0.18121547,0.028729282,33,27,40,25994,31089,43746,27679,16862
5475,ZONE1B,2013_38,2013_38_ZONE1B,315,18,18,0,63,18,36,81,315,18,45,0,0,0,0,0,0,0,36,0,2,1,1,22,1,29,5,5,8,3,6,2,3,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,2,0,11,0,0,0,1,4,0,0,0,0,0,0,0,4,0,3,5,0,0,0,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,7,2,0,0,4,9,0,0,0,0,0,0,23308652.29,68,3417,0.575065847,0.424934153,2025,0.984197531,0.680987654,0.225185185,3295,0.301062215,0.008801214,0.004552352,0.181183612,0.040667678,0.698937785,1285,1,0.062256809,0.178210117,0.021789883,0.013229572,37,38,34,52050,47114,81316,55827,22271
5476,ZONE1C,2013_38,2013_38_ZONE1C,400,40,20,20,40,20,60,90,430,20,50,10,0,60,0,0,10,0,0,0,1,1,0,27,1,35,2,6,4,4,7,9,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,4,2,1,3,0,5,0,0,0,2,0,0,1,1,1,0,5,0,4,6,0,0,0,1,3,0,2,0,0,0,0,1,4,0,0,2,0,0,1,0,0,4,2,0,0,6,9,0,0,0,0,0,0,6501903.903,30,626,0.322683706,0.677316294,317,1,0.807570978,0.164037855,606,0.145214521,0.044554455,0,0.02310231,0,0.854785479,229,1,0.296943231,0.056768559,0.165938865,0.021834061,45,37,46,22150,65078.29167,18068,34792,14181
5477,ZONE1D,2013_38,2013_38_ZONE1D,342,63,9,9,36,81,63,18,360,0,90,0,27,0,18,0,45,0,9,0,0,0,0,50,2,34,6,3,8,6,2,6,3,0,0,0,0,0,0,0,0,34,0,0,0,0,2,7,0,3,6,0,0,0,0,1,0,0,1,0,0,1,0,8,2,0,3,0,0,0,0,1,0,1,0,0,0,0,3,7,0,0,0,0,0,0,0,0,4,9,0,0,7,2,0,0,0,0,0,0,130615765.8,182,4522,0.507518797,0.492481203,2366,0.988588335,0.883770076,0.087489434,4358,0.267324461,0.011014227,0.006883892,0.109224415,0.028682882,0.732675539,1657,1,0.042245021,0.166566083,0.064574532,0.050694025,31,28,32,33225,35873,32084,44433,20857
5478,ZONE2A,2013_38,2013_38_ZONE2A,120,20,4,4,12,16,12,12,120,0,0,0,16,0,4,0,32,0,16,0,1,1,0,19,1,27,5,3,6,7,4,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,5,0,3,3,0,0,0,0,4,0,0,3,0,0,2,0,0,4,2,0,0,0,0,1,2,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,0,3,4,0,0,3,3,0,0,0,0,0,0,67322441.35,75,2891,0.578692494,0.421307506,973,1,0.850976362,0.123329908,2846,0.165846803,0,0.014406184,0.031974701,0.004216444,0.834153197,581,1,0.106712565,0.092943201,0.184165232,0.115318417,38,39,37,45937,50703,27333,54733,22852
5479,ZONE2B,2013_38,2013_38_ZONE2B,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65803266.71,66,4049,0.506544826,0.493455174,2079,0.970658971,0.903799904,0.055315055,3893,0.278705369,0.015155407,0.029026458,0.062676599,0.007706139,0.721294631,1107,0.953026197,0.126467931,0.299006323,0.009033424,0,30,32,32,74560,55953,56630,112939,30678
