SUB_YEAR_WEEK,SUB_YEAR_WEEK_target,call_ALL_target,call_Burglary_target,WEEK,MONTH,YEAR,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire)
2009_3_ZONE2D,2009_4_ZONE2D,5,0,3,1,2009,9,1,2,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
2009_3_ZONE1D,2009_4_ZONE1D,26,2,3,1,2009,36,3,4,4,5,8,4,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,0,2,0,0,1,1,1,2,4,0,0,0,10,1,1,2,0,0,0,0,0,1,0,0,5,0,0,2,4,0,1,2,0,0,0,0,0,3,4,0,0,9,5,0,0,0,0,0,0
2009_3_ZONE3B,2009_4_ZONE3B,1,0,3,1,2009,3,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2009_3_ZONE6A,2009_4_ZONE6A,14,1,3,1,2009,13,2,2,3,1,4,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0
2009_3_ZONE1C,2009_4_ZONE1C,39,6,3,1,2009,31,7,2,5,5,2,2,7,30,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,10,0,2,0,0,1,0,0,1,1,0,0,0,2,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,8,0,0,3,10,0,0,0,0,0,0
2009_3_ZONE5A,2009_4_ZONE5A,21,3,3,1,2009,12,1,3,1,1,6,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,1,3,0,0,0,0,0,0
2009_3_ZONE2A,2009_4_ZONE2A,17,2,3,1,2009,24,2,2,2,2,4,1,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,6,0,0,3,7,0,0,0,0,0,0
2009_3_ZONE6C,2009_4_ZONE6C,39,1,3,1,2009,23,3,1,8,3,1,10,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,0,0,0,0,7,0,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,9,0,0,9,3,0,0,0,0,0,0
2009_3_ZONE6B,2009_4_ZONE6B,10,2,3,1,2009,7,1,1,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0
2009_3_ZONE4C,2009_4_ZONE4C,22,0,3,1,2009,18,1,1,3,3,5,2,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,1,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0
