Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,PredictedBurg,ActualBurg,BurgStatus,BurgStatus2
ZONE6C,2009_11,2009_11_ZONE6C,248,56,0,0,56,48,32,32,248,40,16,0,0,16,0,0,0,0,40,0,1,1,1,0
ZONE7B,2009_11,2009_11_ZONE7B,32,8,0,0,8,8,0,4,32,2,4,0,2,0,0,0,2,0,6,0,3,1,1,0
ZONE7C,2009_11,2009_11_ZONE7C,27,9,3,0,0,6,6,0,27,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0
ZONE7D,2009_11,2009_11_ZONE7D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE1A,2009_12,2009_12_ZONE1A,210,28,21,14,21,56,14,21,224,14,35,14,7,0,0,0,35,0,7,0,2,1,1,0
ZONE1B,2009_12,2009_12_ZONE1B,207,9,18,9,54,18,18,36,207,18,36,0,0,0,0,18,27,0,45,0,2,1,1,0
ZONE1C,2009_12,2009_12_ZONE1C,280,50,0,10,10,40,30,90,290,20,30,30,0,0,40,0,0,0,20,0,1,1,1,0
ZONE1D,2009_12,2009_12_ZONE1D,324,36,9,9,36,63,36,45,324,36,45,0,9,9,9,0,18,0,9,0,3,2,1,1
ZONE2A,2009_12,2009_12_ZONE2A,48,4,4,0,12,12,4,4,56,4,0,0,0,16,0,0,4,0,8,0,1,1,1,0
ZONE2B,2009_12,2009_12_ZONE2B,3,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_12,2009_12_ZONE2D,5,1,0,0,1,1,2,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
ZONE3B,2009_12,2009_12_ZONE3B,4,0,0,0,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE3C,2009_12,2009_12_ZONE3C,132,18,6,0,18,18,18,12,150,36,24,0,6,0,0,0,0,0,48,0,2,2,1,1
ZONE3D,2009_12,2009_12_ZONE3D,112,0,7,7,0,28,21,7,119,14,35,0,0,0,0,0,0,0,14,0,1,2,1,1
ZONE3E,2009_12,2009_12_ZONE3E,522,24,36,6,102,72,60,150,546,120,72,12,36,12,6,0,36,0,108,6,7,9,1,1
ZONE4B,2009_12,2009_12_ZONE4B,10,2,0,0,1,3,2,2,10,2,3,0,0,0,0,0,0,0,1,0,0,1,1,0
ZONE4C,2009_12,2009_12_ZONE4C,80,24,0,0,8,12,20,8,80,4,24,0,4,0,0,0,8,0,4,0,0,0,0,0
ZONE5A,2009_12,2009_12_ZONE5A,125,5,5,0,15,25,10,30,130,20,25,0,5,0,10,0,0,0,20,0,0,1,1,0
ZONE5B,2009_12,2009_12_ZONE5B,252,42,18,18,36,48,30,18,264,30,66,0,0,6,0,6,6,0,30,0,2,3,1,1
ZONE5C,2009_12,2009_12_ZONE5C,50,5,0,0,5,10,5,0,50,0,15,0,5,5,0,0,0,0,5,0,0,0,0,0
ZONE5D,2009_12,2009_12_ZONE5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6A,2009_12,2009_12_ZONE6A,22,12,0,0,4,0,4,0,22,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0
ZONE6B,2009_12,2009_12_ZONE6B,63,18,0,3,3,6,18,6,66,0,15,0,0,0,0,3,3,0,15,0,0,1,1,0
ZONE6C,2009_12,2009_12_ZONE6C,296,40,32,0,16,64,24,56,312,40,48,0,0,0,16,8,32,0,8,0,1,1,1,0
ZONE7B,2009_12,2009_12_ZONE7B,38,6,0,4,6,4,6,8,42,2,8,0,2,2,0,0,6,0,8,0,1,3,1,1
ZONE7C,2009_12,2009_12_ZONE7C,18,6,0,0,0,3,9,0,18,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
ZONE7D,2009_12,2009_12_ZONE7D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE1A,2009_13,2009_13_ZONE1A,315,28,7,14,84,77,35,42,329,28,42,0,7,14,0,0,42,0,49,14,1,2,1,1
ZONE1B,2009_13,2009_13_ZONE1B,261,27,9,18,27,36,27,72,270,63,18,9,0,9,0,9,36,0,27,0,3,2,1,1
ZONE1C,2009_13,2009_13_ZONE1C,270,0,0,10,10,70,30,80,290,30,30,0,0,20,20,0,40,0,20,0,4,1,1,0
ZONE1D,2009_13,2009_13_ZONE1D,405,72,27,9,36,81,18,99,423,54,72,0,0,9,0,0,99,0,18,0,3,3,1,1
ZONE2A,2009_13,2009_13_ZONE2A,80,12,0,4,8,16,8,8,92,4,8,0,0,0,4,0,12,0,24,0,0,1,1,0
ZONE2B,2009_13,2009_13_ZONE2B,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_13,2009_13_ZONE2D,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE3B,2009_13,2009_13_ZONE3B,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
