Subzone,SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita
ZONE3E,85087944.84999916,270,16443,0.4880496259999973,0.5119503740000017,8145,0.9754450579999939,0.8054020870000036,0.09588704699999964,15628,0.5586767339999977,0.01241361699999999,0.003455336999999952,0.4065779370000022,0.020668031999999805,0.44132326600000454,4564,0.9769938649999982,0.09509202499999962,0.1323400529999994,0.035933392000000175,0.03834355800000004,23,23,23,35085,39587.0,62030,58637,15470
ZONE4A,21330088.360000033,91,4901,0.4335849830000024,0.5664150169999975,2571,0.9521586930000011,0.8961493580000022,0.0560093349999996,4643,0.23519276300000053,0.006461339999999984,0.021107043000000138,0.027568383000000165,0.0,0.7648072370000091,1562,0.9891165170000091,0.08002560799999973,0.12099872000000123,0.028809218999999768,0.03777208700000018,34,36,32,57029,64716.0,30234,60641,23034
ZONE4B,160548828.8000016,339,16874,0.48553988399999637,0.514460116000004,8880,0.9610360359999967,0.8404279279999972,0.10596846800000033,16408,0.31710141400000413,0.01328620199999994,0.031021452999999713,0.06624817200000085,0.016699171000000047,0.6828985860000027,5413,0.9628671720000062,0.11176796600000069,0.1431738410000006,0.03602438599999994,0.015518196999999807,35,33,37,82487,82696.0,60411,84617,33754
ZONE4C,178708188.19999823,380,22203,0.49547358500000643,0.5045264149999934,12294,0.9707987639999954,0.8997071740000099,0.057914430000000246,21055,0.289527428000002,0.02085015399999981,0.017003087000000073,0.07651389200000068,0.010258846000000087,0.7104725720000002,7223,0.9436522220000113,0.10674235100000078,0.13636992899999859,0.010798837000000035,0.01924408100000007,33,34,31,58654,62253.0,36146,63319,25579
ZONE5A,14008567.399999877,48,2554,0.38449491000000074,0.6155050899999993,1502,0.9913448739999949,0.9700399469999894,0.01065246299999987,2409,0.33540888300000354,0.00788709000000005,0.0,0.2581984229999995,0.003735990000000019,0.6645911169999914,860,1.0,0.0465116280000002,0.04069767400000021,0.01162790700000005,0.05232558100000061,24,30,23,34549,46625.0,15750,38017,16614
ZONE5B,71266466.77999946,233,9783,0.5384851270000012,0.4615148729999988,4522,0.9842989829999886,0.8065015480000113,0.1371074749999996,9206,0.3601998700000019,0.02509233099999985,0.01705409500000002,0.16217684100000035,0.04431892199999978,0.6398001300000048,3021,0.9741807350000036,0.0728235679999997,0.11386957999999946,0.04237007600000003,0.09632572000000084,27,27,28,29922,37845.0,29634,47085,17043
ZONE5C,41811770.52000036,143,3696,0.5062229440000009,0.4937770559999991,1851,0.9292274449999927,0.8087520259999929,0.07887628299999966,3599,0.3036954709999981,0.015282023000000089,0.013337038000000164,0.09474854100000084,0.020283412,0.6963045289999935,1183,0.9442096369999862,0.18089602700000174,0.28233305200000075,0.03803888399999991,0.024513947999999713,36,31,44,50335,50313.0,34793,65231,35589
ZONE5D,51888770.74,80,2846,0.505270555,0.494729445,1495,0.9859531770000003,0.914381271,0.045484949999999996,2788,0.32137733099999993,0.0,0.036585365999999994,0.08142037300000002,0.010043042,0.6786226689999998,771,0.95849546,0.13229572000000006,0.21789883300000001,0.031128405000000012,0.0,36,32,40,69811,102589.0,32045,69947,26675
ZONE6A,193950592.30000186,393,14516,0.4949021769999994,0.5050978230000012,6997,0.943975990000009,0.8647991999999942,0.06602829799999971,14188,0.276078375999999,0.012475331000000072,0.0071891740000000525,0.046870595000000376,0.012263885000000087,0.7239216240000086,4359,0.9733883920000025,0.17343427400000133,0.33103922899999866,0.03280568899999992,0.01169993099999994,44,41,45,94733,97535.0,61745,114009,41097
ZONE6B,71519797.8100003,119,4503,0.4628025760000013,0.5371974239999987,2370,0.9789029539999907,0.9236286920000086,0.036286919999999896,4367,0.2974582090000013,0.0041218229999999976,0.03068468100000023,0.08816120899999949,0.0038928330000000443,0.7025417909999921,1313,0.9367859860000064,0.16831683200000114,0.29017517099999873,0.05102817999999963,0.031226200000000287,37,35,40,71232,68334.0,47214,80335,28154
ZONE6C,83920696.36000045,176,7759,0.447609228000003,0.5523907720000003,3688,0.9620390459999868,0.8918112800000092,0.04257049899999999,7608,0.21819137699999758,0.009989485000000107,0.024710831000000127,0.0467928499999995,0.005783386000000029,0.7818086230000042,2492,0.936195827000005,0.18499197399999925,0.2929373999999996,0.04654895699999975,0.02327447799999984,38,37,40,48009,47873.0,47555,54849,25295
ZONE7B,71683309.47000054,227,12162,0.5325604340000027,0.4674395659999973,6062,0.9625536130000081,0.8756186080000099,0.0658198610000006,11851,0.31330689399999573,0.011475824999999992,0.011813348999999905,0.08151210899999996,0.017973166999999915,0.6866931060000057,3969,0.9906777529999999,0.06424792100000003,0.15318720099999963,0.009322247000000042,0.019400352999999985,35,30,37,60729,82933.0,36029,63865,27667
ZONE7C,53630347.61000038,238,8040,0.4782338310000046,0.5217661689999948,3991,0.950137810000001,0.8421448259999937,0.09596592300000087,7621,0.267418973999999,0.014958667000000102,0.015089882999999929,0.03726545099999975,0.014171368999999835,0.7325810259999949,2452,0.9877650899999942,0.10562805899999907,0.20106035899999922,0.02446982100000017,0.033849917999999875,36,36,36,79633,85153.0,51478,89011,30844
ZONE7D,36142020.31999984,45,1179,0.4893977950000015,0.5106022049999984,766,0.9516971279999996,0.8981723239999968,0.05352480400000001,1151,0.1494352739999988,0.0,0.008688096999999964,0.04344048699999984,0.02172024299999991,0.8505647259999966,416,0.9495192310000052,0.19471153800000002,0.27403846199999793,0.019230768999999984,0.0,45,48,43,78477,79000.0,68194,97625,37077
